Age,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,26.9,20.43,19.52,15.75,13.24,12.82,16.53,9.38,13.6414,7.1,3.82,10.44,3.43,2.76,3.33,4.55,3.08
1,2.49,1.55,1.38,1.54,0.69,1.34,1.17,1.5,2.0271,1.39,1.11,0.81,1.07,0.66,1.01,0.54,0.66
2,1.6,2.27,0.72,1.38,0.78,0.91,0.52,0.72,1.1522,0.59,0.63,0.35,0.63,0.75,0.31,0.38,0.51
3,1.17,0.92,1.14,1.07,0.77,0.61,0.74,0.54,1.0659,0.91,0.45,0.36,0.62,0.21,0.89,0.32,0.36
4,0.87,1.08,0.72,0.58,0.74,0.5,0.63,0.78,0.7079,0.41,0.37,0.23,0.5,0.21,0.78,0.21,0.06
5,0.71,0.92,0.54,0.38,0.4,0.54,0.32,0.73,0.4236,0.15,0.33,0.31,0.1,0.21,0.23,0.26,0.33
6,0.59,0.42,0.56,0.75,0.22,0.44,0.37,0.52,0.3144,0.47,0.32,0.15,0.2,0.21,0.16,0.16,0.36
7,0.54,0.67,0.41,0.69,0.4,0.34,0.66,0.05,0.2227,0.31,0.28,0.47,0.17,0.12,0.32,0.24,0.17
8,0.51,0.63,0.62,0.3,0.35,0.35,0.34,0.39,0.2145,0.13,0.28,0.64,0.27,0.07,0.17,0.18,0.18
9,0.45,0.1,0.21,0.64,0.34,0.44,0.52,0.58,0.3659,0.52,0.28,0.58,0.26,0.32,0.33,0.17,0.17
10,0.45,0.55,0.28,0.44,0.73,0.4,0.49,0.32,0.3257,0.5,0.3,0.1,0,0.2,0.45,0.22,0.29
11,0.41,0.23,0.57,0.33,0.42,0.41,0.15,0.06,0.5311,0.36,0.29,0.37,0.2,0.1,0.18,0.19,0.07
12,0.4,0.28,0.3,0.36,0.33,0.42,0.12,0.2,0.3688,0.11,0.3,0.13,0.31,0.64,0.35,0.2,0.13
13,0.41,0.39,0.56,0.72,0.48,0.32,0.35,0.23,0.5149,0.21,0.29,0.4,0.08,0.37,0.08,0.22,0.08
14,0.44,0.71,0.38,0.28,0.59,0.39,0.5,0.41,0.4059,0.3,0.3,0.35,0.15,0.24,0.34,0.19,0.18
15,0.5,0.29,0.41,0.81,0.71,0.47,0.28,0.24,0.1697,0.26,0.34,0.32,0.06,0.57,0.48,0.29,0.06
16,0.53,0.5,0.73,0.4,0.57,0.59,0.57,0.39,0.448,0.21,0.35,0.45,0.25,0.33,0.38,0.35,0.23
17,0.6,0.57,0.87,0.88,0.46,0.62,0.47,0.22,0.8034,0.19,0.39,0.23,0.33,0.42,0.23,0.31,0.07
18,0.72,0.77,0.65,0.96,0.59,0.84,0.77,0.43,0.4285,0.44,0.41,0.39,0.5,0.33,0.44,0.25,0.23
19,0.79,0.77,0.31,0.73,0.87,0.9,0.96,0.52,0.6398,0.44,0.43,0.48,0.41,0.64,0.41,0.41,0.42
20,0.92,1.26,0.45,0.95,0.55,0.86,0.79,0.39,0.8646,0.39,0.47,0.3,0.51,0.24,0.38,0.23,0.4
21,0.91,0.96,1.48,1.07,0.63,0.86,1.24,1.19,0.8914,0.88,0.47,0.52,0.49,0.3,0.47,0.3,0.67
22,0.98,1.11,0.7,0.79,0.64,1,0.6,1.19,0.5505,0.77,0.5,0.59,0.32,0.79,0.23,0.3,0.52
23,0.99,1.1,1.69,1.38,0.63,0.77,0.61,1.02,0.804,0.41,0.54,0.36,0.33,0.36,0.29,0.33,0.66
24,1.05,0.55,0.73,1.04,0.94,0.88,1.12,0.86,0.5942,0.25,0.56,0.23,0.53,0.38,0.52,0.41,0.49
25,1.08,1.1,0.92,0.91,0.89,0.94,0.74,0.45,0.9768,0.8,0.58,0.36,0.3,0.52,0.34,0.41,0.06
26,1.05,1.63,0.28,1.2,0.84,0.84,1.14,0.92,0.5208,0.97,0.57,0.59,0.9,0.35,0.28,0.36,0.43
27,1.11,0.86,0.83,1.1,0.93,0.96,0.8,1.23,1.0684,0.35,0.59,0.4,0.35,0.61,0.54,0.43,0.25
28,1.11,1.25,0.91,0.73,1.23,1,0.86,0.73,1.0235,0.47,0.61,0.4,0.76,0.6,0.33,0.41,0.27
29,1.17,1.16,1.7,0.92,1.35,1.22,0.81,1.22,0.5736,1.44,0.68,0.63,1.05,0.78,0.31,0.39,0.33
30,1.27,1.5,1.3,1.02,1.53,1.05,1.1,1,1.5967,0.67,0.7,0.76,0.78,0.45,0.57,0.43,0.38
31,1.26,1.23,1.85,0.89,1.21,1.16,1.42,1.15,1.0084,1.38,0.77,0.77,0.43,0.93,0.52,0.48,0.28
32,1.35,1.3,1.4,1.33,0.81,1.31,1.12,1.08,1.3993,1.1,0.81,1.26,0.68,0.46,0.62,0.67,0.51
33,1.33,1.36,1.26,1.21,1.42,1.27,1.49,1.31,1.4935,0.87,0.83,0.59,1.18,0.62,0.6,0.57,0.65
34,1.44,1.77,1.01,1.19,1.22,1.4,0.94,1,1.046,1.04,0.94,0.87,1.48,1.58,0.6,0.62,0.66
35,1.58,1.63,2.26,1.38,1.01,1.42,1.4,1.16,1.7033,1.11,1.03,0.82,1.86,0.95,0.88,0.61,0.92
36,1.56,1.82,1.92,2,1.04,1.54,1.15,0.87,1.2695,1.02,1.06,1.19,0.61,0.99,0.98,0.76,0.58
37,1.71,1.16,1.65,1.67,0.99,1.62,1.24,1.2,1.3529,1.01,1.14,0.89,1.28,1.61,1.11,0.82,0.54
38,1.79,1.82,2.14,1.52,1.73,1.71,1.51,1.6,0.9138,1.25,1.21,1.79,1.11,1.03,0.81,0.99,0.95
39,1.94,1.43,2.29,1.81,2.29,1.78,2.42,1.59,1.3013,1.46,1.34,1.69,1.66,1.09,1.46,1.05,1.41
40,2.19,1.92,2.01,1.88,1.84,1.93,1.66,2.01,1.5403,1.53,1.51,1.51,1.38,2.1,1.56,1.13,0.85
41,2.17,1.98,3.07,2.15,2.17,2.11,2.06,1.93,2.3045,1.58,1.55,1.2,1.48,1.47,1.13,1.21,1.12
42,2.42,2.02,1.31,2.19,2.05,2,2.47,1.92,1.8771,1.69,1.82,2.47,1.73,1.86,1.76,1.36,1.66
43,2.47,2.04,3.02,2.5,1.83,2.36,1.91,2.65,1.8511,1.53,1.89,1.56,2.06,2.1,1.5,1.21,1.96
44,2.67,2.37,3.04,2.99,2.89,2.51,2.7,2.46,2.046,2.17,2.07,1.8,1.89,1.39,1.53,1.57,0.8
45,3,2.01,2.46,3.11,2.93,2.71,2.55,1.43,1.9748,2.39,2.31,2.58,2.31,1.78,1.9,1.65,2.18
46,3.15,3.01,2.73,2.85,2.85,3.02,2.79,1.91,2.0681,2.26,2.36,3.26,2.73,2.98,2.57,1.93,1.8
47,3.47,3.4,2.9,2.2,2.84,3.18,3.35,3.96,2.5615,3.63,2.54,2.48,2.17,1.88,2.09,1.74,1.64
48,3.73,3.54,3.21,3.61,3.51,3.64,2.97,3,3.3787,1.55,3.11,2.39,2.58,3.3,2.46,2.28,2.38
49,4.18,4.89,4.35,4.09,3.28,3.61,2.88,3.88,3.7436,3.08,3.28,2.87,3.2,2.6,2.44,2.39,3.43
50,4.88,5.02,4,3.8,4.3,3.97,1.99,3.81,3.782,4.02,3.64,5.3,4.48,3.19,3.49,2.6,2.64
51,4.87,5.77,4.37,3.79,4.61,3.99,3.8,4.29,3.6988,4.21,3.75,3.69,3.62,2.89,3.7,2.98,3.31
52,5.51,5.82,5.06,5.48,5.44,4.55,4.86,3.6,4.2884,3.39,3.98,5.03,5.02,3.96,3.94,2.82,3.93
53,5.88,5.45,4.68,5.26,4.94,4.82,3.61,3.41,4.2698,4,4.41,4.59,5.14,4.61,4.49,2.51,4.04
54,6.68,6.28,4.51,6.23,6.25,5.86,3.74,5.19,3.9329,4.74,4.98,6.28,5.14,5.42,6.22,4.2,2.97
55,7.23,6.88,7.22,6.63,7.49,5.87,5.61,4.09,5.615,4.45,5.18,5.02,5.47,4.18,6.12,4.23,4.57
56,7.56,6.18,8.58,6.77,6.2,6.5,6.25,4.77,5.861,5.63,5.64,6.81,6.22,6.35,5.64,5.14,4.61
57,8.63,6.23,7.67,7.03,7.13,6.78,4.59,6.23,4.716,5.68,6.09,5.91,5.58,7.47,6.04,5.04,6.98
58,9.34,8.6,8.98,10.18,11.9,7.82,6.01,7.3,7.2034,5.92,6.81,6.14,8.15,6.3,8.44,4.94,4.71
59,10.81,8.06,11.74,9.25,10.77,8.85,7.29,7.85,8.3321,6.62,7.67,6.68,9.02,8.23,8.1,5.9,5.74
60,12.84,14.55,9.48,11.12,10.53,9.93,8.19,6.43,9.5143,7.65,8.54,8.89,8.8,8.44,9.61,6.4,6.97
61,13.03,13.33,13.79,8.95,12.6,10.12,8.58,6.43,8.4996,6.79,9.38,9.76,10.92,7.69,9.69,6.81,7.12
62,14.73,14.55,18.71,13.16,11.99,11.69,9.42,10.71,9.7011,8.6,10.38,9.97,11.44,9.58,9.95,7.9,8.67
63,15.56,15.17,17.15,12.42,16.14,12.9,10.95,10.58,13.4136,12.68,11.12,10.94,11.83,10.84,12.48,7.79,9.58
64,17.86,18.44,20.04,15.5,14.63,14.12,13.24,12.95,13.0645,9.88,13.01,12.57,13.13,11.15,10.87,9.16,8.95
65,20.08,19.49,19.49,18.34,16.63,15.92,12.81,15.44,16.0161,13.17,14.21,15.56,12.01,14.8,13.54,10.39,9.53
66,20.83,20.88,18.8,19.81,17.17,16.51,17.25,14.72,14.7239,16.11,14.74,17.34,16.57,12.5,17.8,10.99,13.78
67,23.77,24.55,25.98,19.47,18.18,19.09,17.85,15.67,15.3271,14.05,17.23,19.36,15.15,18.44,16.39,12.56,14.15
68,27.31,26.12,27.05,22.77,22,21.27,18.2,24.4,20.0204,17.18,18.64,18.78,17.65,20.61,18.68,13.24,14.25
69,31.56,28.94,30.08,25.19,25.35,24.84,19.96,23.12,25.3513,17.98,21.91,20.3,21.68,23.29,23.35,15.9,16.79
70,36.39,34.26,33.93,30.82,29.15,27.36,21.66,26.07,24.8994,23.74,25.57,21.55,27.2,22.99,19.18,16.72,21.09
71,37.66,38.8,40.49,34.28,29.74,27.57,29.71,29.78,28.2855,22.41,26.73,23.8,25.67,27.48,25.22,19.07,22.7
72,43.89,37.68,40.73,40.67,34.6,33.76,32.35,33.06,30.8085,23.16,30.94,31.73,23.76,28.74,30.45,22.6,22.22
73,46.37,42.52,46.82,42.73,38.33,37.24,26.44,30.34,33.4036,31.82,33.59,29.27,35.65,30.88,31.17,23.44,28.98
74,50.27,45.11,45.35,40.97,47.7,39.36,34.2,31.35,35.4108,32.35,37.44,33.63,36.44,34.71,36.01,25.57,25.59
75,55.17,44.53,61.06,48.06,47.64,44.62,43.18,44.11,40.3081,39.14,41.51,35.21,35.93,42.93,39.81,27.92,34.62
76,60.35,55.16,49.85,50.18,48.73,48.16,36.41,46.36,44.6372,38.17,42.19,48.24,45.61,43.3,42.2,34.16,30.55
77,65.15,70.33,66.3,62.77,58.21,52.55,44.19,42.33,57.3233,46.69,50.97,59.11,49.84,53.77,53.31,34.93,42.14
78,74.48,61.37,67.47,73.51,64.36,60.98,51.59,55.3,47.8887,52.87,56.2,49.49,59.95,48.91,53.1,40.1,39.21
79,86.03,76.25,75.31,76.9,68.46,67.69,55.49,59.62,47.8964,49.55,62.12,61.04,67.64,67.18,61,47,48.73
80,99.46,91.93,80.66,77.34,80.76,73.77,66.77,57.57,66.5429,57.11,74.28,70.85,69.31,72.82,56.23,51.93,55.86
81,103.48,96,109.38,109.52,75.48,78.55,68.3,75.9,63.8381,68.46,77.91,65.82,69.61,73,81.37,59.34,60.42
82,114.2,82.06,89.34,92.58,90.82,86.6,60.86,72.6,77.9709,67.84,85.81,82.53,81.05,71.9,89.31,62.48,67.73
83,122.84,85.18,97.31,116.66,105.71,98.28,75.87,79.19,78.3715,91.12,93.52,101.55,86.15,89.96,85.25,66.29,65.9
84,133.09,106.85,118.31,137.51,127.77,108.5,81.24,73.29,91.9753,73.15,103.63,88.5,107.9,101.79,88.27,77.77,75.37
85,141.6,131.81,113.12,107.33,140.99,120,82.43,89.1,80.7043,76.79,111,105.69,117.33,105.63,117.15,75.61,95.52
86,150.97,153.28,153.26,144.94,102.58,120.52,89.91,111.24,104.5173,92.22,118.88,111.57,129.94,132.72,118.75,91.87,87.79
87,165.52,134.63,151.52,119.78,141.45,140.41,85.2,94.74,125.2796,105.74,130.07,126.69,131.62,137.47,118.69,97.64,110.5
88,180.98,140.91,179.86,150.55,168.43,139.11,91.94,130.96,120.1502,120.46,144.18,135.29,155.13,150.17,154.95,100.13,107.83
89,196.43,183.26,184.46,209.77,186.65,161.05,146.31,101.23,133.7868,121.17,156.87,120.96,191.34,169.34,167.42,127.16,116.73
90+,250.8,223.87,208.44,289.95,216.89,213.26,152.18,173.97,162.4573379,155.46,200.87,185.8,212.33,188.04,211.12,149.92,164.87