Year,Birth Rate,Death Rate,Natural Growth Rate
2016,12.43,7.11,5.32
2015,12.95,7.09,5.86
2014,12.07,7.11,4.96
2013,12.37,7.16,5.12
2012,12.08,7.16,4.92
2011,12.1,7.15,4.95
2010,11.9,7.11,4.79
2009,12.13,7.08,5.05
2008,12.14,7.06,5.08
2007,12.1,6.93,5.17
2006,12.09,6.81,5.28
2005,12.4,6.51,5.89
2004,12.29,6.42,5.87
2003,12.41,6.4,6.01
2002,12.86,6.41,6.45
2001,13.38,6.43,6.95
2000,14.03,6.45,7.58
1999,14.64,6.46,8.18
1998,15.64,6.5,9.14
1997,16.57,6.51,10.06
1996,16.98,6.56,10.42
1995,17.12,6.57,10.55
1994,17.7,6.49,11.21
1993,18.09,6.64,11.45
1992,18.24,6.64,11.6
1991,19.68,6.7,12.98
1990,21.06,6.67,14.39